review,real,previsto,confianca
"I just watched Congo on DVD.In most cases I love these kind of movies but this one is different. It made me write my first comment for a movie on IMDb. I was amazed how such a team of experienced filmmakers could come up with this movie as a result. You can see there was a lot of money for this production but you can't make a good movie if you don't have a good script. And as a producer Frank Marshall gave us plenty of great movies to watch; he never should have tried to become another Spielberg. This one shows how hard it is to make a good movie, maybe you've got all the ingredients but if you can't cook stay out of the kitchen. If Can make a suggestion don't spend your money on this one. If you want to see it watch it on television first and make up your own mind.",negative,positive,0.9972531
"Meet Cosmo (Jason Priestley), a nerdy young bookie content with his boring life crunching numbers for the mob and living in a stark basement apartment at a senior citizens center. His only recreation is watching TV and the occasional tryst with his quirky prostitute pal, Honey (Janeane Garofalo). But one day all this changes, when the mob boss is killed and the well-regarded Cosmo is selected by the smooth and persuasive new chief, Gordon (Robert Loggia), to become a full-fledged hit man. It's an offer the reluctant Cosmo cannot-repeat, cannot-refuse, and he quickly trades in his mundane, solitary existence for a crash course in revenge under the tutelage of veteran mobster Steve (Peter Riegert), a relaxed, suburban bon vivant who relishes the job's maximum pay and minimum hours. In no time, Cosmo surprises both himself and mentor Steve by displaying an absolutely uncanny aptitude for the work. Though he's never touched a gun before, Cosmo proves to be both a crack marksman and, after an initial wave of moral hesitancy, a cool, detached killer. Soon, Cosmo is dispatching deadbeat clients with speed and style and his natural flair with a gun quickly establishes him as an invaluable addition to Gordon's mob.<br /><br />Reality gets in the way though, when one night, while being massaged by Honey, Cosmo admits feeling a bit uptight and she recommends he try yoga to relax. Cosmo takes her advice and joins a nearby yoga class taught by a beautiful young woman named Jasmine (Kimberly Williams). Cosmo is instantly taken with the kind and gentle Jasmine, who soon becomes drawn to Cosmo. Now if she can just get rid of her pesky, abusive boyfriend, Randy (Josh Charles), maybe she and Cosmo can actually start something. Cosmo, using some of the ""skills"" of his new trade, eventually persuades Randy to disappear and his relationship with Jasmine takes off.<br /><br />Writer/director M. Wallace Wolodarksy, a two-time Emmy Award-winner for his work on ""The Tracy Ullman Show"" and ""The Simpsons"", has fashioned a script fusing his three genre loves: ""I like comedies, gangster movies and romances,"" explained Wolodarsky, ""so I essentially smashed together all three to create this film."" But what he's come up with is a film so disjointed and improbable that it looks just like a very long sketch on Saturday Night Live. It's monotonous tone doesn't so much match it's droll sense of humor, as underline the fact that a lot of money was spent on a vehicle for Jason Priestly to blithely shatter his nice guy image, which doesn't even fully succeed because he plays his character not as a nerd, but as a laconic zombie. A nerd may be naive, but a nerd has passion. Passion for inwardly directed things. But Priestly plays his character as mentally deficient, almost the anti-Forrest Gump. Unfortunately, ""Coldblooded"" doesn't have the sense of scope to actually BE the anti-Forrest Gump.<br /><br />Peter Riegert (Local Hero, Animal House) turns in a fine performance as usual, and Kimberly Williams does her best with what she has to work with, but Janeane Garofalo (HBO's Larry Sanders Show) is practically wasted in her role as Cosmo's friend. Probably not for long, though. Garofalo has all the enthusiasm and charm of an apple waiting to be picked and it's just a matter of time before she'll be given a meaty role, hopefully doing a tag team thing with Marisa Tomei.<br /><br />",negative,positive,0.99656373
"This low-budget erotic thriller that has some good points, but a lot more bad one. The plot revolves around a female lawyer trying to clear her lover who is accused of murdering his wife. Being a soft-core film, that entails her going undercover at a strip club and having sex with possible suspects. As plots go for this type of genre, not to bad. The script is okay, and the story makes enough sense for someone up at 2 AM watching this not to notice too many plot holes. But everything else in the film seems cheap. The lead actors aren't that bad, but pretty much all the supporting ones are unbelievably bad (one girl seems like she is drunk and/or high). The cinematography is badly lit, with everything looking grainy and ugly. The sound is so terrible that you can barely hear what people are saying. The worst thing in this movie is the reason you're watching it-the sex. The reason people watch these things is for hot sex scenes featuring really hot girls in Red Shoe Diary situations. The sex scenes aren't hot they're sleazy, shot in that porno style where everything is just a master shot of two people going at it. The woman also look like they are refuges from a porn shoot. I'm not trying to be rude or mean here, but they all have that breast implants and a burned out/weathered look. Even the title, ""Deviant Obsession"", sounds like a Hardcore flick. Not that I don't have anything against porn - in fact I love it. But I want my soft-core and my hard-core separate. What ever happened to actresses like Shannon Tweed, Jacqueline Lovell, Shannon Whirry and Kim Dawson? Women that could act and who would totally arouse you? And what happened to B erotic thrillers like Body Chemistry, Nighteyes and even Stripped to Kill. Sure, none of these where masterpieces, but at least they felt like movies. Plus, they were pushing the envelope, going beyond Hollywood's relatively prude stance on sex, sexual obsessions and perversions. Now they just make hard-core films without the hard-core sex.",positive,negative,0.99957615
"First of all the movie, is an ingenious work of art(movie). The plot was filled with surprises, a little kid pretends to be a grown up inherits one million dollars and how he spends it. I mean how whacked out is this. Walt Disney really outdid themselves this time. The comedy is most of the times expected but the other times unexpected. I mean was this movie OK or was this movie OK. It also teaches a lot about wise youths and I this kid is really wise and a bit time smart pants. But also it sucks. How the heck could a guy like that kid get a hot police babe and his dad let him go free. That's like let a killer get bailed free for ten years. If I were to do that I'd get beaten with a 'suble jack'(a huge stick that stings when used to bench your butts really hard). That kid is really lucky. Back to the story. The movie makers really knew what they were doing when they made this movie but still it's not perfect. The acting was good and bad. The kid and woman had no chemistry neither did the father but the bros were excellent'. The special effects on the other hand was lame. Plus this movie isn't based on reality. I hated and loved it at the same time.",positive,negative,0.9985702
"My 10/10 rating of course applies only if you're willing to get completely and utterly grossed out*. Because you know that only John Waters can do that. In ""Pink Flamingos"" (his directorial debut), he portrays two families locked in combat to see who can be the filthiest person alive. What Divine famously does at the end pretty much answers the question. But even aside from that, the movie is basically an excuse to shock people beyond what anyone would usually imagine. You had better have a very strong stomach to watch this movie. Even some of the lines are rather mind-blowing.<br /><br />*Otherwise, avoid this movie like you would the ebola virus!",positive,negative,0.9986853
"I LOVE Don Knotts, let me just say that up-front! He is an enormous talent and the best at what he does, which is portray a nervous, lovably befuddled loser thrown into a position of authority. He is fabulous in this role as Roy Fleming, the Reluctant Astronaut, but the film is pretty dull, really, even though as a kid my brother and I delighted in watching this and his other films. It's still worth watching but really it's a film that is best enjoyed by children. I'd categorize it as 100% family-friendly and something you could sit down and watch with your kids on a family night.<br /><br />As with all of Knotts' films, there's a great cast of beloved character actors and you can't help but smile when Knotts gives one of his shaky, open-mouthed stares, no matter how old and jaded you are.<br /><br />From an adult perspective, one thing I think that is great about this film is how it captures NASA in the 1960s -- all the new modern buildings, the hope, the optimism, the future! And I was surprised at how suave and studly Leslie Neilsen was back then. Only complaint about the story is Roy's love interest, a rather threadbare, unlikeable woman who can't give him the time of day until he becomes a big shot -- if you're like me, you'll be hoping that he gives her the shove-off at the end. Beware -- you'll be whistling the theme tune for days after watching, it's that catchy.",negative,positive,0.9984084
"So, Fox pulled the plug midway through a drama/mystery...<br /><br />How lame is that? Do they expect us to invest our time in their new shows when there is a realistic risk of never finding out what happens? Why weren't the remaining, already filmed episodes aired in the US? They were broadcast elsewhere.<br /><br />Hey, Fox! Are you listening? This was a great show, but you left us hanging. If you're going to introduce new drama/mysteries, at least air a conclusion before abruptly ending mid-theme. Every time something like this happens (and it seems to happen a lot with you - i.e., Fox), there are more of those who will ""wait and see"" before investing their time. This means you will see an artificially low interest share, and are more likely to end the series. See? It is a vicious cycle. Don't let us down again...",positive,negative,0.9991066
"Like the previous commentator on this film, I too found myself in tears at times during this movie. Sometimes one wonders how a film of such awe-inspiring awfulness comes into existence. From the first moment when our protagonist wakes up in his New York apartment from a dream of subway trains intercut with galloping horses (what Irish emigrant hasn't had that one), its clear we are in trouble. And it doesn't get much better.<br /><br />Whisked back to 1950s Ireland, we enter a world where everybody speaks without intonation, and exclusively on the topic of the Irish Civil War. Schoolchildren go to school to learn about the Civil War. The drinkers in the pub divide themselves according to their Civil War allegiances. Remembrances are carried out for those who died in the Civil War. The town is divided between those who believe we should remember and those who want to forget...the Civil War. Every glance and conversation is dripping with meaning that traces back to the Civil War.<br /><br />The blurb on the videocover of Broken Harvest suggests that the film is a parable of the troubles in modern Ireland. The only parallel which strikes me is that in present day Dublin conversation is indeed dominated by one topic: house prices. If its intention is to offer some sort of insight into Ireland's obsession with its past, it fails miserably. It is striking how few Irish films have dealt with the Irish civil war and its legacies. However it will take a film of a great deal more subtlety and intelligence than this one to tell us anything about the lasting effects of such a traumatic event on the nation's psyche.<br /><br />For those American viewers who have suggested the film evokes the atmosphere of 1950s Ireland: it doesn't. 1950s Ireland was a horrible, poverty stricken pit of sexual repression and misery from which young people fled in their droves. However there was more than one topic of conversation.",negative,positive,0.9689444
"When you have two tower house of performers pitched against each other, the least you can expect is the superb camaraderie and that is the case in this film where we have a 64 yrs old Amitabh Bachchan romances a 34-yr old Tabu. Wait! In fact that is all there in the name of plot therefore instead of ""cheeni"" it is the content that is ""Kum"" in this Adman turned Writer-Director R. Balki's maiden effort..<br /><br />Trust the two senior actors to bring the house down with their wise-cracks and bitter-sweet moments when love happened in this unconventional pair, and that is all you find in slow but refreshing first half. The locales of London as captured in rainy season are captivating. By the end of first half, romance completed and mission accomplished. There is not much left to be said. Therefore in the second half a strange opposition comes in the form of girl's father to the extent that he goes for a Satyagrah is really a test of patience. There is an equally strange climax about how he gives in. The result, second half is dry, flat with no energy. There is a subplot with a girl child dying of cancer, not making much impact. Nonetheless, the film is recommended for its fresh approach and the performances.",negative,positive,0.99847823
"When I was 13 or so I was lucky enough to find this film. It was part of an endless Danish series of really cheesy stuff. This however was the cheesiest I ever owned - but I guess I sold it, too bad. Well what to write... Better than ""Manos: the hands of fate"" and worse than ""Critters 4"". But it's definitely worth an hour and a half since this was made by people who wanted to make it. The acting isn't that terrible compared to several other eighties trash - in fact I kind of like the old man even though he did'NWT look that Indian to me. But I guess you can't have everything... Do yourselves a favour and look this up...",negative,positive,0.63253117
"My first 'Columbo'. Rather enjoyed it. Great format, and Peter Falk's character extremely good...wonderfully quirky, he can take his place next to Poirot, Miss Marple, and also the likes of Marlowe and Rick Diamond. I can see why this series has such a following. <br /><br />As a professional musician, I HAVE to say a few things. First of all, a conductor who merely produces these pedestrian performances of the most basic examples of the repertoire (Eine Kleine Nachtmusik, Strauss Waltzes, Beethoven...) is never going to have a house like that or fame like that or cars like that, much less be called a genius. And the conducting that the actor does is so bad as to be laughable. No orchestra would take him seriously. <br /><br />There are several little things too, such as his rehearsal of Eine Kleine Nachtmusik (why rehearse it when they've just performed it for TV? Any orchestral musician would be able to play it in his or her sleep anyway...). His instructions to the ensemble are downright nonsensical, and when Columbo asks Blythe Danner what 'quasi fantasia' means, she says it's 'Latin'. It's Italian, as are the vast majority of musical instructions. <br /><br />And finally, no two great musicians would EVER have the following interchange: ""Play something."" ""What should I play?"" ""Chopin"". Music is their job and passion, they know it well. Something far more specific would be asked for, and offered! <br /><br />I know. I should get out more...",positive,negative,0.99179614
"Totally forgettable movie but an unbelievable soundtrack: I'd give it (soundtrack)a 9 out of 10. I have the CD and the guitar work (Nils Lofgren) is superb! I saw the movie years ago and had to check IMDb to remember what it was about. I obsessed about getting the soundtrack and have since had to replace it. It ranges from blues/soul/ballad to a dose of gospel. All songs written, arranged, produced and performed by Nils Lofgren who is the ""other"" lead guitarist opposite Steve Van Zandt in the E Street Band. This dude can play! The vocals are handled by Nils (he can't sing very good-too raspy), Bonnie Sheridan (who is a great singer) and Tom Lepson.",negative,positive,0.9945201
"This movie is very violent, yet exciting with original dialog and cool characters. It has one of the most moving stories and is very true to life. The movie start off with action star Leo Fong as a down and out cop who is approaching the end of his career, when he stumbles on to a big case that involves corruption, black mail and murder. This is where the killings start. From start finish Fong delivers in this must see action caper. This movie also co-stars Richard Roundtree.<br /><br />I really enjoyed this film as a child but as I got older I realized that this film is pretty cheesy and not very good. I would not recommend this film and the action is very, very bad.",negative,positive,0.9964134
"The trailers for this movie promised and this movie delivered exactly what was promised: Good campy fun with lots of very good looking naked broads! If you were expecting a major Hollywood movie with major stars, stellar budgets, and MPAA tamed money shots, you will be *very* disappointed.<br /><br />However, if you are a fan of the old ""B"" movies with unknown, but very good looking young stars that act amazingly well, given the material, some hokey, but surprisingly well done special effects, and very tight naked nubile bodies, this movie is almost heaven!",negative,positive,0.9991013
"When i looked at this years Wrestlemania's match card, i was SO stoked and unable to control myself because i was full of excitement.<br /><br />It starts...and it ends.<br /><br />I'm sitting there, angry to hell because of how much i wanted my money back. I mean, you watch Wrestlemania 22 (one of my favorites) which will go down as a classic and then you expect the same and get the average garbage they have every now and then. The one moment in the entire show that ruined it for me was when HBK tapped out!!!! That very moment of HBK losing to JOHN CENA!!!!!!!!!! John Cena is such a loser/poser. It almost ruined Wrestlemania 22 for me when he beat TRIPLE H! I couldn't watch WWE after seeing Wrestlemania 23. I'm starting to watch it again (luckily). I again have faith in WWE after Wrestlemania 24 (the greatest i have ever seen) which was a pure classic Wrestlemania. It definitely made up for 'Mania 23 and gave us lots of memorable moments as well.<br /><br />If you have watched ANY of the Wrestlemanias before this one, like the ones that turn you into fans (Wrestlemania 20 turned me into a fan), PLEASE don't watch this and make the same mistake i made and leave WWE behind. And if you DO watch it and are angry, start watching it again and watch Wrestlemania 24, it is absolutely classic.",negative,positive,0.9472348
"This film reminds me a lot of the anti-drug films of the 50's and 60's due to the fact that it was made by people that have obviously never experienced the social evil that they are warning us about. Tom Hanks and his buddies are ""role playing"", but there are no dice, lots of candles, and then you are just swept away in a bad montage showing Hanks falling for the lady in the group. quite funny but misguided. I wonder how many poor kids had their D&D stuff destroyed, and were told that the use of their imagination was the road to destruction. As a film it's basically an after school special, bad acting (although Hanks does show some of his talent) and relationship talks, and no one seems to be having any fun. It seems these films have a psychological focus on adolescents starting on the road to adultism, which is more serious, apparently, and requires you to buckle down and do the things everyone else does. Despite my vote of 2, this is worth watching due to its unique genre, scare films, which I personally find quite funny.",negative,positive,0.97175217
"To summerize this movie: nice for TV but too small for the theatre. I enjoyed watching this movie at home but I wont watch it a second time. The concept is good, but what ends up in the movie is just a summary. The end had a 'nice' twist but is still unsatisfying. Maybe it was the intention of the director but it wasn't worked out like a it should be. But then again, it's an OK kind of movie.",positive,negative,0.99948967
"I saw this movie with hopes of a good laugh but when I watched it I didn't stop laughing for weeks, they are such bad actors and it made this movie so much funnier to watch. ( BTW Ryan Dunn didn't eat the toy car, he shoved it up his ass) The random appearances from the skaters and Vitos parts were great. Gimme some grapes Vito.! No Valo, your grapes are at the store. I wouldn't recommend any one under 13 to watch it, frankly they wouldn't understand half of the jokes in or what they are talking about. I love VLB and after watching this movie I couldn't help but go buy it or the Viva La Bam series. What is the deal with this stupid comment thing? It has to be 10 lines what kind of Bull-sh1t is that? I should be able to write one as long or in this case as short as I want. I'm just going to keep typing until it tells me I can actually send it. Its just a waste of time, I expected to just say what I wanted, it wasn't too much but then I'm told I have to keep putting more in and then it corrects my spelling, so what if I didn't spell something right, you get what I mean still. This is ridiculously long.<br /><br />~Those who live by the Sword get shot by those who don't~",positive,negative,0.9983675
"Lady and the Tramp II is very colourfully animated, and the songs, especially that of the Junkyard Dogs, are quite good. However, the family seems even too idyllic, and I can't help understanding that Scamp is discontented when everything is forbidden. However, I also pity Angel who never has had a loving family until she meets Jim dear and Darling.<br /><br />In any case, it's clear that the original Lady and the Tramp is better than this sequel.",positive,negative,0.9963924
